candidate_id,fold_count,validation_row_count,weighted_mean_degree_ladder_nll,mean_degree_ladder_nll,std_degree_ladder_nll,weighted_mean_degree_ladder_brier,mean_degree_ladder_brier,std_degree_ladder_brier,weighted_mean_degree_ladder_rps,mean_degree_ladder_rps,std_degree_ladder_rps,weighted_mean_event_bin_nll,mean_event_bin_nll,std_event_bin_nll,weighted_mean_event_bin_brier,mean_event_bin_brier,std_event_bin_brier,weighted_mean_final_tmax_q50_mae_f,mean_final_tmax_q50_mae_f,std_final_tmax_q50_mae_f,weighted_mean_final_tmax_q50_rmse_f,mean_final_tmax_q50_rmse_f,std_final_tmax_q50_rmse_f,weighted_mean_q05_q95_coverage,mean_q05_q95_coverage,std_q05_q95_coverage,weighted_mean_q05_pinball_loss,mean_q05_pinball_loss,std_q05_pinball_loss,weighted_mean_q10_pinball_loss,mean_q10_pinball_loss,std_q10_pinball_loss,weighted_mean_q25_pinball_loss,mean_q25_pinball_loss,std_q25_pinball_loss,weighted_mean_q50_pinball_loss,mean_q50_pinball_loss,std_q50_pinball_loss,weighted_mean_q75_pinball_loss,mean_q75_pinball_loss,std_q75_pinball_loss,weighted_mean_q90_pinball_loss,mean_q90_pinball_loss,std_q90_pinball_loss,weighted_mean_q95_pinball_loss,mean_q95_pinball_loss,std_q95_pinball_loss
regularized_shallow_lgbm_300,2,729,2.44744061880653,2.44752114078833,0.05870052473220211,0.856244275156389,0.8562482959420674,0.00293115275955691,0.011258297725404121,0.011259124903516115,0.0006030128436437104,1.5760654987571792,1.5762139267145856,0.10820398094923833,0.6715097362617977,0.6715487331897338,0.028428760465501912,1.4367385687776526,1.4367995207582362,0.04443399384556901,2.0123664755265267,2.0124506472772494,0.061361206276644986,0.7901234567901234,0.7901211801896733,0.0016596417281348752,0.251975743582113,0.25199264396831833,0.012320381543707029,0.3815731152145115,0.3816093041626115,0.0263817431649431,0.6094762186499996,0.609514956790865,0.028240104690882784,0.7187563343065109,0.7187870940458856,0.022423850004108237,0.5764566037324673,0.5764741482308904,0.012789939350382418,0.34124268786704043,0.3412563549029041,0.009963269144598164,0.21140280431148986,0.21141895200336863,0.011771667379610704
high_min_leaf_lgbm_250,2,729,2.510395547817621,2.510462254611971,0.04862925308133614,0.8646005145373711,0.8646033289950152,0.00205173962258709,0.011356872874142636,0.01135781955701158,0.0006901318114623011,1.5822202954709625,1.5823788253787388,0.11556830276880348,0.6715319894624081,0.6715679842221003,0.02624017981565968,1.4566357155419418,1.4566885234186353,0.03849694210935395,2.0387031044355806,2.0387755111873855,0.05278452206580553,0.7791495198902606,0.7791321692006623,0.012648652717145825,0.24909119687305145,0.2491173834652301,0.019090025698249746,0.37575083975092777,0.37577927271871414,0.02072763351629167,0.6062585944302368,0.6062942925461484,0.026023926499593064,0.7284595643832156,0.7284861230872368,0.019361295231511644,0.5894359397760915,0.5894601196726367,0.01762714458140957,0.3512876440143065,0.3513087753232205,0.015404724198284425,0.22508732283396668,0.2251043115038859,0.012384740371120417
regularized_shallow_leaves11_depth4_lgbm_300,2,729,2.4972798948043002,2.4973427709423257,0.04583670462072198,0.8669086431348776,0.8669140738643184,0.0039590017623503115,0.01136082597623747,0.011361819423560245,0.0007242230983003839,1.5971732705172739,1.5973157228937196,0.10384778242886306,0.6769965411592683,0.6770385824410257,0.030648094401060366,1.4529159470720592,1.4529841369539134,0.049710423871624054,2.0360559622351624,2.0361399172208166,0.06120318454202911,0.7791495198902606,0.7791434592804456,0.004418184555170845,0.2532444236968647,0.2532667634544117,0.016285683251760955,0.3780919129682298,0.3781202126970375,0.020630502300823805,0.6047430929552448,0.6047848852064737,0.030466551145836906,0.7266630204037366,0.7266972245170251,0.024934798587343154,0.5844732914042923,0.5844971351207515,0.01738206929875591,0.3494953880047196,0.3495036930506481,0.006054378481898104,0.22265573429983118,0.22267159126876357,0.01155973035168495
regularized_moderate_lgbm_300,2,729,2.5070600884392293,2.507139634058914,0.05798875674980719,0.8643464817563384,0.8643452850992397,0.0008723630250678793,0.011293924570496598,0.011294800472931467,0.0006385328750195193,1.6135041341148533,1.6136538541349754,0.10914589466914237,0.6768532394497481,0.6768895311321115,0.02645663644290469,1.4382588308907729,1.4383112811198693,0.0382362170112821,2.008962009204059,2.0090406007140986,0.05729321081845484,0.7640603566529492,0.7640448592503387,0.011297606503085977,0.258164321457266,0.2581872947806764,0.01674755276622658,0.38713603509535777,0.3871743294963459,0.027916618320346448,0.6113624669240709,0.6114041245852839,0.030368435024325346,0.7196260322404064,0.7196526611769267,0.019412494723256624,0.575832866787563,0.5758455954213335,0.009279174018739511,0.3525631566383586,0.3525773681078076,0.010360161228318732,0.21288916497431265,0.21290591788892277,0.012212874750751807
slower_regularized_lgbm_350,2,729,2.5313022930349245,2.53134207595303,0.029001747298978975,0.8642218570512469,0.864225715357827,0.0028127054968586918,0.01133249812782391,0.011333516166225618,0.0007421499948449791,1.6146608466165808,1.6147787304426382,0.08593730919583309,0.6697144990702998,0.6697519650819617,0.027312722501539044,1.4343699031662525,1.4344259509983819,0.04085886962221774,2.015795434553344,2.0158677513725802,0.05271896122280728,0.747599451303155,0.7476027397260274,0.002397260273972579,0.25694587377712946,0.2569642189997023,0.013373667255573263,0.38273588392846575,0.3827594579818445,0.0171854849130936,0.6140373859456085,0.6140813064840941,0.03201807255595279,0.7174226382742441,0.7174512494453963,0.02085754376995519,0.5739627889698178,0.5739860452519518,0.016953829675720622,0.35105648867543715,0.35106344802447653,0.0050733654496725455,0.22715078312871712,0.22716094698943978,0.007409454466835552
current_lgbm_fixed_250_no_inner_es,2,729,2.6067933914441137,2.606855320747251,0.04514646198686467,0.8800478496641765,0.880055116194661,0.005297300723191289,0.011346916732572918,0.011347979934567293,0.0007750742539006719,1.6652137731835759,1.6653579612354426,0.10511308981075475,0.6854845425577829,0.6855360413762083,0.037542638632069525,1.4264942709013322,1.4265691464819545,0.05458429827366307,2.0062217065025947,2.0063079029966584,0.06283724417237202,0.7338820301783264,0.7338664759897637,0.011339003462291164,0.2569048387711434,0.25691125562102185,0.004677883561418517,0.4084685923438421,0.40851929098352385,0.036959308328003204,0.6205730030924062,0.620624205777172,0.037326757194272975,0.712836240399257,0.7128726570999646,0.026547774815852743,0.5810358840746049,0.5810678750732897,0.023321438041220666,0.36590808865986424,0.3659251458668173,0.012434703868813957,0.2205136668455627,0.22052195840426803,0.006044546296177539
